id,product_id,store_id,quantity,type,cost_price
3430,C3-TB25-6,ST,4,-,0
3431,ACA272C054,ST,2,+,38.475
3432,TLB504A088,ST,1,-,0
3433,ACA272C054,ST,5,+,38.475
3434,R50DB385-10,ST,153,+,1.6885
3435,P1PCB12,ST,10,+,23.4
3436,SSA521A073C,ST,2,+,0
3437,C3-TB25-6,ST,1,-,0
3438,E2-A415ES12,ST,1,+,353.18
3439,C3-TB25-6,ST,1,-,0
3440,D1SKN2608UNF,ST,3,-,0
3441,C3INGR390,ST,1,-,0
3442,C3-TB25-6,ST,1,-,0
3443,MIT-FE83/70-P,ST,10,+,46.04
3444,R1HG312,ST,1,-,0
3445,TE204,ST,5,+,12.43
3446,5550303,ST,2,-,0
3447,SSA912A201,ST,3,+,0.67
3448,TCP11COR,DL,4,+,7.38
3449,R50OA851-10,ST,59,+,6.15
3450,C3-TB25-6,ST,2,-,0
3451,ACA272C064,ST,1,+,100
3452,SSA532J005,ST,17,+,24.65
3453,SSA431J016,ST,2,+,227.44
3454,2000-BLACK-SIZE42,ST,1,-,0
3455,ACA272C064,ST,1,+,100
3456,E2-A415ES12,ST,3,+,332.42
3457,ACA201A020,ST,1,+,154.4
3458,TOY-150-P,ST,5,+,90
3459,TE205,ST,13,+,15.014
3460,E2-A415ES12,ST,4,+,339.17
3461,C3-TB25-6,ST,4,-,0
3462,ACA272C009,ST,1,+,100
3463,31A1910020,ST,5,+,209.5
3464,E2-A415ES12,ST,4,+,340.42
3465,MIT-FE83-B,ST,3,+,50
3466,TD17DXB-1L1,ST,1,+,2707.5
3467,SSA925C051C,ST,20,-,0
3468,TCP11FOR,ST,10,+,27.347
3469,ACA201A020,ST,5,+,173.2
3470,TE206,ST,28,+,10.6
3471,93112,ST,1,+,28
3472,C3-TB25-6,ST,2,-,0
3473,SSA925C058,ST,80,+,0.4539
3474,SSA521A425,ST,14,+,22.43
3475,TJF116A122D,ST,1,+,1
3476,MIT-FE83/70-P,ST,2,+,46.04
3477,SSA521A425A,ST,6,+,21.1806
3478,TSJ541B002F,ST,2,+,51
3479,E2-B415ES12,ST,1,+,384.12
3480,19211-BLACK-SIZE42,ST,1,-,0
3481,R1HG224,ST,1,+,23.7
3482,E2-A230ES24,ST,1,-,0
3483,MIT-FE83/70-P,ST,1,+,20
3484,E3SW-0823-06,ST,1,-,0
3485,E3SW-0823-06,ST,1,-,0
3486,ACA272C054,ST,1,+,38.475
3487,SSA512K009,ST,31,+,67.4703
3488,SSA512K007,ST,14,+,68.4012
3489,SSA512K007,ST,40,+,66.9826
3490,MIT-FB70-B,ST,18,+,50
3491,TOY-150-B,ST,1,+,1
3492,SSA925C051P,ST,8,-,0
3493,P1PCB12,ST,4,+,20
3494,SSA382F108,ST,1,+,52.8273
3495,C3-TB25-6,ST,5,-,0
3496,SSA925C051C,ST,20,-,0
3497,C3RN43200,ST,1,-,0
3498,SSA382A008,ST,1,+,52.5
3499,TCP11FOR,ST,10,+,2.78
3500,TCP11FOR,ST,8,+,2.7789
3501,SSA382F108,ST,1,+,52.8273
3502,ACA201A020,ST,2,+,217
3503,TDJ360DL2,ST,2,+,5275.451
3504,C133000WF50,ST,4,-,0
3505,MIT-639-B,ST,2,+,43.49
3506,Nov-88,ST,1,+,150
3507,E1-DXC230-200,ST,4,-,0
3508,38623738,ST,15,+,6.3649
3509,SSA431B091,ST,1,-,0
3510,70373,ST,1,+,16.49
3511,MPL001,ST,12,+,33.5
3512,SSA521A024B,ST,10,+,8.5
3513,P1PCB12,ST,10,+,19.7128
3514,TSJ505A041AD,ST,1,+,202.5
3515,C3-TB25-4,ST,4,-,0
3516,SSA431J019A,ST,1,-,0
3517,C3-TB25-6,ST,1,-,0
3518,E2-B415ES24,ST,1,+,410.22
3519,ACA272C064,ST,1,+,100
3520,TSJ541B002F,ST,2,+,51
3521,2200-BLACK-SIZE40,ST,1,-,0
3522,E2-A230ES12,ST,2,+,339.9682
3523,B2A26,DL,1,-,0
3524,ACA272C065,ST,2,+,119.8575
3525,TDJ301DL2,ST,1,+,4578.031
3526,70335,ST,1,+,9.9854
3527,35875,ST,2,+,4.8067
