129924021F,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 2180HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924021F-75X100,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 2180HMM(BOTTOM X100T,REST X75T)FULL HEIGHT",INSULATION BOX,BOX,Active
12FT-CR-PARTITION-CHILLER-12V,12FT CARGO RAILING PARTITION FOR CHILLER COMPARTMENT-12V,DISCONTINUED,SET,Inactive
12FT-CR-PARTITION-CHILLER-24V,12FT CARGO RAILING PARTITION FOR CHILLER COMPARTMENT-24V,DISCONTINUED,SET,Inactive
12FT-CR-PARTITION-DRY-12V,12FT CARGO RAILING FOR DRY COMPARTMENT-12V,DISCONTINUED,SET,Inactive
12FT-CR-PARTITION-DRY-24V,12FT CARGO RAILING PARTITION FOR DRY COMPARTMENT-24V,DISCONTINUED,SET,Inactive
12FT-FHA-PARTITION-CHILLER-12V,12FT FHA MOVABLE PARTITION FOR CHILLER COMPARTMENT-12V,DISCONTINUED,SET,Inactive
12FT-FHA-PARTITION-CHILLER-24V,12FT FHA MOVABLE PARTITION FOR CHILLER COMPARTMENT-24V,DISCONTINUED,SET,Inactive
12FT-FHA-PARTITION-DRY-12V,12FT FHA MOVABLE PARTITION FOR DRY COMPARTMENT-12V,DISCONTINUED,SET,Inactive
12FT-FHA-PARTITION-DRY-24V,12FT FHA MOVABLE PARTITION FOR DRY COMPARTMENT,DISCONTINUED,SET,Inactive
139712001,"13FT BOX 97 MODEL (12V), SIZE: 4000L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
139724001,"13FT BOX 97 MODEL (24V), SIZE: 4000L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
139724002,"13FT BOX 97 MODEL (24V), SIZE: 4000L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
149712001,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
149712001-100,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2000W X 2000H X 100TMM",INSULATION BOX,BOX,Active
149712001-125,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2000W X 2000H X 125TMM",INSULATION BOX,BOX,Active
149712002,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 1970W X 1920HMM",INSULATION BOX,BOX,Active
149712003,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
149712004,"14FT BOX 97 MODEL (12V), SIZE: 4250L X 2190W X 2100HMM",INSULATION BOX,BOX,Active
149712005,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
149712006,"14FT BOX 97 MODEL (12V), SIZE: 4200L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
149712007,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
149712007-100,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2000W X 2100H X 100TMM",INSULATION BOX,BOX,Active
149712008,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2160W X 2100HMM",INSULATION BOX,BOX,Active
149712009,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2250W X 2100HMM",INSULATION BOX,BOX,Active
149712010,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
149712011,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
149712011-100,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2100W X 2100H X 100TMM",INSULATION BOX,BOX,Active
149712012,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
149712013,"14FT BOX 97 MODEL (12V), SIZE: 4300L X 2200W X 2100HMM",INSULATION BOX,BOX,Active
